Схема в Звит	Область	Форма				
	B4070	П4070_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4080	П4080_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4090	П4090_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4100	П4100_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4120	П4120_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4130	П4130_2			ПолеТабличногоДокументаОтчетПоТруду	
						
	A5010	П5010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5020	П5020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5030	П5030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5040	П5040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5050	П5050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5060	П5060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5070	П5070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5080	П5080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5090	П5090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5100	П5100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5110	П5110_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST9	П5120_0			ПолеТабличногоДокументаОтчетПоТруду	
	A5120	П5120_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST10	П5130_0			ПолеТабличногоДокументаОтчетПоТруду	
	A5130	П5130_1			ПолеТабличногоДокументаОтчетПоТруду	
						
	A6010	П6010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6020	П6020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6030	П6030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6040	П6040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6050	П6050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6060	П6060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6070	П6070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6080	П6080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6090	П6090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6100	П6100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6110	П6110_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6120	П6120_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6130	П6130_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6140	П6140_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6150	П6150_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST6	П6160_0			ПолеТабличногоДокументаОтчетПоТруду	
	A6160	П6160_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST4	П6170_0			ПолеТабличногоДокументаОтчетПоТруду	
	A6170	П6170_2			ПолеТабличногоДокументаОтчетПоТруду	
						
	N1	Пр2			ПолеТабличногоДокументаОтчетПоТруду	
	N2	Пр3			ПолеТабличногоДокументаОтчетПоТруду	
	N3	Пр4			ПолеТабличногоДокументаОтчетПоТруду	
	N4	Пр5			ПолеТабличногоДокументаОтчетПоТруду	
	N5	Пр6			ПолеТабличногоДокументаОтчетПоТруду	
	N6	Пр7			ПолеТабличногоДокументаОтчетПоТруду	
	N7	Пр8			ПолеТабличногоДокументаОтчетПоТруду	
	N8	Пр9			ПолеТабличногоДокументаОтчетПоТруду	
	N9	Пр10			ПолеТабличногоДокументаОтчетПоТруду	
	N10	Пр11			ПолеТабличногоДокументаОтчетПоТруду	
	K14	Пр100			ПолеТабличногоДокументаОтчетПоТруду	
	K1	Пр200			ПолеТабличногоДокументаОтчетПоТруду	
	K2	Пр300			ПолеТабличногоДокументаОтчетПоТруду	
	K3	Пр400			ПолеТабличногоДокументаОтчетПоТруду	
	K4	Пр500			ПолеТабличногоДокументаОтчетПоТруду	
	K5	Пр600			ПолеТабличногоДокументаОтчетПоТруду	
	K6	Пр700			ПолеТабличногоДокументаОтчетПоТруду	
	K7	Пр800			ПолеТабличногоДокументаОтчетПоТруду	
	K8	Пр900			ПолеТабличногоДокументаОтчетПоТруду	
	K9	Пр1000			ПолеТабличногоДокументаОтчетПоТруду	
						
	A7010	П7010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A7020	П7020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A7030	П7030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A7040	П7040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A7050	П7050_1			ПолеТабличногоДокументаОтчетПоТруду	
	B7010	П7010_2			ПолеТабличногоДокументаОтчетПоТруду	
	B7020	П7020_2			ПолеТабличногоДокументаОтчетПоТруду	
	B7030	П7030_2			ПолеТабличногоДокументаОтчетПоТруду	
	B7040	П7040_2			ПолеТабличногоДокументаОтчетПоТруду	
	B7050	П7050_2			ПолеТабличногоДокументаОтчетПоТруду	
	C7010	П7010_3			ПолеТабличногоДокументаОтчетПоТруду	
	ST3	П7050_0			ПолеТабличногоДокументаОтчетПоТруду	
	C7050	П7050_3			ПолеТабличногоДокументаОтчетПоТруду	
						
	A8010	П8010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A8020	П8020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A8030	П8030_1			ПолеТабличногоДокументаОтчетПоТруду	"// 1С-Звит автоматически преобразует грн. в тыс. грн.
// Для этих ячеек такое преобразование не нужно
ЗначПоказателя1С = ЗначПоказателя1С*1000;"
	A8040	П8040_1			ПолеТабличногоДокументаОтчетПоТруду	ЗначПоказателя1С = ЗначПоказателя1С*1000;
	ST11	П8050_0			ПолеТабличногоДокументаОтчетПоТруду	
	A8050	П8050_1			ПолеТабличногоДокументаОтчетПоТруду	ЗначПоказателя1С = ЗначПоказателя1С*1000;
	ST12	П8060_0			ПолеТабличногоДокументаОтчетПоТруду	
	A8060	П8060_1			ПолеТабличногоДокументаОтчетПоТруду	ЗначПоказателя1С = ЗначПоказателя1С*1000;
						
	A9010	П9010			ПолеТабличногоДокументаОтчетПоТруду	
	A9020	П9020			ПолеТабличногоДокументаОтчетПоТруду	
	A9030	П9030			ПолеТабличногоДокументаОтчетПоТруду	
	A9040	П9040			ПолеТабличногоДокументаОтчетПоТруду	
	A9050	П9050			ПолеТабличногоДокументаОтчетПоТруду	
	A9060	П9060			ПолеТабличногоДокументаОтчетПоТруду	
	A9070	П9070			ПолеТабличногоДокументаОтчетПоТруду	
	A9080	П9080			ПолеТабличногоДокументаОтчетПоТруду	
	A9090	П9090			ПолеТабличногоДокументаОтчетПоТруду	

// Отчет по труду (квартальная форма)						
						
	MY_DAT	мДатаКонцаПериодаОтчета			СлужебныеДанные	ЗначПоказателя1С = НРег(Формат(ЗначПоказателя1С, "ДФ = 'ММММ гггг';Л = uk_UA"))
						
	A3010_1	П3010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3020_1	П3020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3020_2	П3020_2			ПолеТабличногоДокументаОтчетПоТруду	
	A3030_1	П3030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3040_1	П3040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3040_2	П3040_2			ПолеТабличногоДокументаОтчетПоТруду	
	A3050_1	П3050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3050_2	П3050_2			ПолеТабличногоДокументаОтчетПоТруду	
	A3060_1	П3060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3060_2	П3060_2			ПолеТабличногоДокументаОтчетПоТруду	
	A3070_1	П3070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3070_2	П3070_2			ПолеТабличногоДокументаОтчетПоТруду	
	ST7	П3080_0			ПолеТабличногоДокументаОтчетПоТруду	
	A3080_1	П3080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3080_2	П3080_2			ПолеТабличногоДокументаОтчетПоТруду	
	ST9	П3090_0			ПолеТабличногоДокументаОтчетПоТруду	
	A3090_1	П3090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A3090_2	П3090_2			ПолеТабличногоДокументаОтчетПоТруду	
						
	ST1	П4120_0			ПолеТабличногоДокументаОтчетПоТруду	
	ST2	П4130_0			ПолеТабличногоДокументаОтчетПоТруду	
	A4010	П4010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4020	П4020_1			ПолеТабличногоДокументаОтчетПоТруду	
	// Показателя соответствующего A4030 в 1С нет					
	A4040	П4040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4050	П4050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4060	П4060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4070	П4070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4080	П4080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4090	П4090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4100	П4100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4110	П4110_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4120	П4120_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4130	П4130_1			ПолеТабличногоДокументаОтчетПоТруду	
	B4050	П4050_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4060	П4060_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4070	П4070_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4080	П4080_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4090	П4090_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4100	П4100_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4120	П4120_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4130	П4130_2			ПолеТабличногоДокументаОтчетПоТруду	
						
	A5010	П5010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5020	П5020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5030	П5030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5040	П5040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5050	П5050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5060	П5060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5070	П5070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5080	П5080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5090	П5090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5100	П5100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5110	П5110_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST9	П5120_0			ПолеТабличногоДокументаОтчетПоТруду	
	A5120	П5120_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST10	П5130_0			ПолеТабличногоДокументаОтчетПоТруду	
	A5130	П5130_1			ПолеТабличногоДокументаОтчетПоТруду	
						
	A6010	П6010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6020	П6020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6030	П6030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6040	П6040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6050	П6050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6060	П6060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6070	П6070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6080	П6080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6090	П6090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6100	П6100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6110	П6110_1			ПолеТабличногоДокументаОтчетПоТруду	
	//A6120	//П6120_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6130	П6130_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6140	П6140_1			ПолеТабличногоДокументаОтчетПоТруду	
